tweet_id,favorite_count,retweet_count,date_time
892420643555336193,37986,8302,
892177421306343426,32611,6130,
891815181378084864,24556,4058,
891689557279858688,41324,8442,
891327558926688256,39502,9147,
891087950875897856,19851,3042,
890971913173991426,11602,2015,
890729181411237888,64066,18411,
890609185150312448,27261,4177,
890240255349198849,31276,7201,
890006608113172480,30066,7160,
889880896479866881,27267,4860,
889665388333682689,47170,9800,
889638837579907072,26614,4419,
889531135344209921,14818,2194,
889278841981685760,24751,5243,
888917238123831296,28542,4399,
888804989199671297,25060,4184,
888554962724278272,19437,3463,
888078434458587136,21329,3409,
887705289381826560,29580,5266,
887517139158093824,45363,11411,
887473957103951883,67659,17745,
887343217045368832,33015,10163,
887101392804085760,29980,5823,
886983233522544640,34456,7591,
886736880519319552,11826,3204,
886680336477933568,21995,4357,
886366144734445568,20783,3127,
886267009285017600,116,4,
886258384151887873,27453,6140,
886054160059072513,0,105,
885984800019947520,32009,6613,
885528943205470208,35276,6280,
885518971528720385,20026,3673,
885311592912609280,0,18131,
885167619883638784,21494,4284,
884925521741709313,75904,17839,
884876753390489601,27379,5478,
884562892145688576,23817,4583,
884441805382717440,26472,5529,
884247878851493888,71587,20040,
884162670584377345,19952,2920,
883838122936631299,21480,3373,
883482846933004288,45026,9704,
883360690899218434,22248,3618,
883117836046086144,36436,6516,
882992080364220416,23490,3835,
882762694511734784,27750,4799,
882627270321602560,27394,5941,
882268110199369728,44064,11337,
882045870035918850,28791,4855,
881906580714921986,23840,3316,
881666595344535552,49608,10435,
881633300179243008,124,7,
881536004380872706,48475,15602,
881268444196462592,22647,5066,
880935762899988482,16691,2724,
880872448815771648,20858,3738,
880465832366813184,27982,6138,
880221127280381952,26522,4122,
880095782870896641,27095,4258,
879862464715927552,21913,3420,
879674319642796034,304,10,
879492040517615616,22980,3111,
879415818425184262,103841,43339,
879376492567855104,16471,3049,
879130579576475649,0,6681,
879050749262655488,22113,4618,
879008229531029506,18622,2641,
878776093423087618,19036,4047,
878604707211726852,29686,7058,
878404777348136964,0,1264,
878316110768087041,0,6522,
878281511006478336,7597,1264,
878057613040115712,41251,6681,
877736472329191424,78276,18707,
877611172832227328,0,79,
877556246731214848,22315,3734,
877316821321428993,26890,5085,
877201837425926144,26633,5476,
876838120628539392,20327,3273,
876537666061221889,23095,4557,
876484053909872640,18429,2355,
876120275196170240,27422,4599,
875747767867523072,24760,4217,
875144289856114688,21557,4842,
875097192612077568,26937,5949,
875021211251597312,25029,4640,
874680097055178752,27346,4558,
874434818259525634,0,14468,
874296783580663808,25616,4035,
874057562936811520,22294,3897,
874012996292530176,34003,10241,
873580283840344065,23815,3883,
873337748698140672,0,1564,
873213775632977920,7119,1564,
872967104147763200,26924,5340,
872820683541237760,14494,3641,
872620804844003328,20490,3642,
872486979161796608,40080,8917,
872261713294495745,33714,6247,
872122724285648897,33930,8031,
871879754684805121,37416,11036,
871762521631449091,20000,3441,
871515927908634625,19942,3423,
871166179821445120,0,5649,
871102520638267392,20665,5460,
871032628920680449,22398,3783,
870804317367881728,33227,6156,
870726314365509632,118,3,
870656317836468226,12271,2625,
870374049280663552,81823,26036,
870308999962521604,21598,4127,
870063196459192321,36283,8300,
869772420881756160,41987,9974,
869702957897576449,27965,6315,
869596645499047938,15828,3124,
869227993411051520,20272,3770,
868880397819494401,65074,14429,
868639477480148993,0,2096,
868622495443632128,26536,5284,
868552278524837888,10055,2096,
867900495410671616,24029,4175,
867774946302451713,33750,7336,
867421006826221569,16018,2504,
867072653475098625,0,121,
867051520902168576,32067,7871,
866720684873056260,19981,4818,
866686824827068416,19238,3486,
866450705531457537,121776,35359,
866334964761202691,52361,14468,
866094527597207552,0,8393,
865718153858494464,25558,5637,
865359393868664832,26404,5023,
865006731092295680,27928,7721,
864873206498414592,32241,8741,
864279568663928832,14608,3050,
864197398364647424,30130,8987,
863907417377173506,20605,4169,
863553081350529029,15303,4211,
863471782782697472,0,2468,
863432100342583297,23825,5291,
863427515083354112,2269,97,
863079547188785154,8775,1113,
863062471531167744,8533,2468,
862831371563274240,19186,5142,
862722525377298433,17084,3556,
862457590147678208,20572,5005,
862096992088072192,74698,23532,
861383897657036800,36197,10831,
861288531465048066,17257,4203,
861005113778896900,16765,3840,
860981674716409858,0,2185,
860924035999428608,0,835,
860563773140209665,7544,2185,
860524505164394496,23736,5356,
860276583193509888,18384,3520,
860184849394610176,16761,5934,
860177593139703809,0,31335,
859924526012018688,19649,4151,
859851578198683649,15500,3564,
859607811541651456,18710,1602,
859196978902773760,90554,30706,
859074603037188101,34097,13856,
858860390427611136,0,8300,
858843525470990336,15650,3542,
858471635011153920,21680,4936,
858107933456039936,15861,2968,
857989990357356544,16276,2636,
857746408056729600,34598,10861,
857393404942143489,5967,1684,
857263160327368704,20218,4618,
